t,YA,YB,YC,YD,T
2.157190635451505e-05,0.9996230271783051,0.0003769722734659261,5.48230298686e-10,7.507514338282029e-18,369.0801643355209
2.167224080267559e-05,0.9996230033755142,0.0003769960762429723,5.482440936711109e-10,7.507552875744619e-18,369.0087559285099
2.1772575250836123e-05,0.9996229796922315,0.00037701975951203007,5.482578116261217e-10,7.507591172462742e-18,368.9377060458879
2.1872909698996657e-05,0.999622956127307,0.000377043324422834,5.482714533349125e-10,7.50762923104555e-18,368.86701123844665
2.197324414715719e-05,0.9996229326796117,0.0003770667721046056,5.482850195666604e-10,7.50766705405031e-18,368.7966681185176
2.2073578595317728e-05,0.9996229093480284,0.00037709010367437086,5.482985110820686e-10,7.507704644005528e-18,368.72667333501846
2.2173913043478262e-05,0.9996228861314552,0.00037711332023412485,5.483119286312347e-10,7.507742003403004e-18,368.6570235819599
2.2274247491638796e-05,0.9996228630288061,0.000377136422869897,5.483252729529429e-10,7.507779134695165e-18,368.58771560124967
2.2374581939799334e-05,0.9996228400390101,0.00037715941265260616,5.483385447752995e-10,7.507816040297413e-18,368.51874618012727
2.2474916387959868e-05,0.9996228171610153,0.0003771822906342748,5.483517448129005e-10,7.50785272257761e-18,368.4501121625212
2.2575250836120402e-05,0.9996227943937783,0.00037720505785806895,5.483648737743242e-10,7.507889183883792e-18,368.38181041892943
2.267558528428094e-05,0.9996227717362723,0.00037722771535108094,5.48377932356735e-10,7.507925426524168e-18,368.31383786807123
2.2775919732441473e-05,0.9996227491874837,0.0003772502641266227,5.483909212475914e-10,7.507961452773423e-18,368.24619147000715
2.2876254180602008e-05,0.9996227267464144,0.0003772727051831113,5.484038411238102e-10,7.507997264869607e-18,368.17886822948196
2.2976588628762545e-05,0.9996227044120806,0.00037729503950410673,5.484166926517897e-10,7.508032865014206e-18,368.1118651958122
2.307692307692308e-05,0.9996226821835085,0.0003773172680633679,5.48429476491172e-10,7.508068255386003e-18,368.04517944771754
2.3177257525083613e-05,0.9996226600597387,0.0003773393918204339,5.484421932915464e-10,7.508103438128887e-18,367.9788081065771
2.3277591973244147e-05,0.9996226380398242,0.000377361411722277,5.484548436936749e-10,7.50813841535636e-18,367.9127483314707
2.3377926421404685e-05,0.9996226161228338,0.00037738332870015674,5.484674283271473e-10,7.508173189142878e-18,367.846997328616
2.347826086956522e-05,0.9996225943078461,0.00037740514367542375,5.484799478146948e-10,7.508207761539716e-18,367.7815523339577
2.3578595317725753e-05,0.9996225725939504,0.0003774268575585795,5.484924027714867e-10,7.508242134572368e-18,367.71641061598837
2.367892976588629e-05,0.9996225509802491,0.00037744847124743903,5.485047938037574e-10,7.508276310235464e-18,367.65156948125906
2.3779264214046824e-05,0.999622529465856,0.0003774699856283693,5.48517121509724e-10,7.508310290496126e-18,367.5870262706659
2.387959866220736e-05,0.9996225080498975,0.0003774914015745925,5.485293864783214e-10,7.508344077289307e-18,367.52277836453874
2.3979933110367896e-05,0.9996224867315142,0.000377512719945644,5.485415892887956e-10,7.50837767251628e-18,367.4588231842688
2.408026755852843e-05,0.9996224655098519,0.00037753394159574413,5.485537305169172e-10,7.50841107806745e-18,367.39515816719177
2.4180602006688964e-05,0.9996224443840697,0.0003775550673659851,5.485658107291744e-10,7.508444295801e-18,367.33178079002766
2.42809364548495e-05,0.9996224233533366,0.00037757609808693887,5.485778304847053e-10,7.508477327549967e-18,367.26868856105773
2.4381270903010035e-05,0.9996224024168328,0.0003775970345788573,5.485897903354427e-10,7.508510175122762e-18,367.2058790195231
2.448160535117057e-05,0.9996223815737545,0.00037761787764524436,5.486016908213486e-10,7.508542840285698e-18,367.14334975490937
2.4581939799331107e-05,0.9996223608232999,0.00037763862808798713,5.486135324816186e-10,7.508575324804013e-18,367.0810983615518
2.468227424749164e-05,0.9996223401646801,0.00037765928669597455,5.486253158462477e-10,7.508607630410962e-18,367.01912247278113
2.4782608695652175e-05,0.999622319597116,0.00037767985424837545,5.486370414384542e-10,7.50863975881668e-18,366.9574197510876
2.4882943143812713e-05,0.9996222991198379,0.00037770033151484305,5.486487097748279e-10,7.508671711708706e-18,366.89598788750897
2.4983277591973247e-05,0.9996222787320885,0.00037772071925258334,5.486603213631627e-10,7.508703490744065e-18,366.8348246104243
2.508361204013378e-05,0.9996222584331185,0.0003777410182111195,5.486718767059699e-10,7.50873509756207e-18,366.7739276712615
